edad,trabajo,estado_civil,educacion,impago,saldo,hipoteca,prestamo,contacto,día,mes,duracion,contactos_campana,dias_ultimo_contacto,contactos_previos,resultado_campana_previa,respuesta
41,obrero,casado,primaria,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no
63,jubilado,casado,secundaria,no,415,yes,no,cellular,7,oct,323,1,-1,0,unknown,no
48,gerente,casado,terciaria,no,5887,no,no,cellular,13,aug,227,2,-1,0,unknown,no
48,servicios,casado,secundaria,no,1355,no,no,cellular,4,jul,134,2,-1,0,unknown,no
56,administrativo,casado,secundaria,no,16873,no,no,cellular,7,oct,223,1,-1,0,unknown,no
51,obrero,divorciado,secundaria,no,203,yes,no,cellular,8,may,134,1,170,5,failure,no
31,servicios,casado,secundaria,no,338,yes,no,cellular,28,jan,155,1,-1,0,unknown,no
29,tecnico,casado,secundaria,no,444,yes,no,cellular,21,jul,130,4,-1,0,unknown,no
41,gerente,casado,secundaria,no,0,no,yes,cellular,7,jul,630,3,-1,0,unknown,no
32,tecnico,soltero,terciaria,no,360,no,no,cellular,19,nov,164,2,-1,0,unknown,no
37,gerente,casado,terciaria,no,0,no,no,cellular,16,jul,268,2,182,3,success,yes
42,emprendedor,divorciado,terciaria,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
31,gerente,soltero,terciaria,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no
41,servicios,casado,terciaria,no,412,yes,no,unknown,3,jun,154,5,-1,0,unknown,no
56,jubilado,casado,secundaria,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,no
54,gerente,divorciado,terciaria,no,3222,no,no,cellular,14,aug,67,2,-1,0,unknown,no
41,obrero,divorciado,secundaria,no,174,yes,no,cellular,14,may,367,2,297,1,other,no
40,tecnico,soltero,secundaria,no,591,no,yes,cellular,14,aug,87,6,-1,0,unknown,no
50,obrero,divorciado,primaria,no,388,no,no,cellular,5,feb,701,1,-1,0,unknown,no
40,desempleado,casado,secundaria,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no
27,administrativo,divorciado,secundaria,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown,yes
60,jubilado,casado,primaria,no,5,no,no,cellular,26,aug,63,2,-1,0,unknown,no
28,administrativo,soltero,secundaria,no,177,yes,yes,cellular,6,may,150,1,-1,0,unknown,no
52,servicios,casado,secundaria,no,657,no,no,telephone,7,jul,398,2,460,2,failure,yes
37,gerente,casado,terciaria,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown,yes
51,obrero,casado,primaria,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no
41,tecnico,soltero,secundaria,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown,no
35,obrero,soltero,primaria,no,293,yes,no,unknown,30,may,521,2,-1,0,unknown,no
38,administrativo,casado,secundaria,no,424,yes,no,cellular,17,apr,279,1,-1,0,unknown,no
34,obrero,casado,secundaria,no,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,no
39,obrero,casado,primaria,no,111,no,no,cellular,18,nov,201,2,-1,0,unknown,no
34,obrero,casado,primaria,no,455,yes,no,unknown,20,jun,372,3,-1,0,unknown,no
27,servicios,soltero,secundaria,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes
32,gerente,soltero,terciaria,no,3616,no,no,cellular,14,aug,165,2,-1,0,unknown,no
57,obrero,casado,secundaria,no,14093,no,no,cellular,11,aug,231,5,-1,0,unknown,no
41,desconocido,soltero,terciaria,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,no
41,administrativo,casado,terciaria,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
30,administrativo,soltero,terciaria,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no
36,obrero,divorciado,secundaria,no,2843,no,no,cellular,12,feb,473,1,182,1,success,no
31,desempleado,soltero,primaria,no,406,no,no,cellular,4,feb,736,1,-1,0,unknown,yes
36,obrero,casado,secundaria,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no
38,gerente,soltero,terciaria,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no
49,tecnico,casado,secundaria,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown,no
57,servicios,soltero,primaria,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no
34,gerente,soltero,secundaria,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no
32,gerente,soltero,terciaria,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,no
37,obrero,casado,secundaria,no,427,yes,yes,unknown,9,jun,371,3,-1,0,unknown,no
33,autonomo,casado,terciaria,no,483,yes,no,cellular,3,feb,280,2,-1,0,unknown,no
56,desempleado,casado,primaria,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes
27,ama_de_casa,casado,primaria,no,0,yes,no,cellular,23,jul,435,3,-1,0,unknown,no
21,estudiante,soltero,secundaria,no,2488,no,no,cellular,30,jun,258,6,169,3,success,yes
58,gerente,casado,terciaria,no,1517,yes,no,telephone,29,jul,7,5,-1,0,unknown,no
32,autonomo,casado,secundaria,no,217,yes,yes,cellular,15,jul,317,5,-1,0,unknown,no
33,obrero,soltero,secundaria,no,22,no,no,cellular,30,jan,76,2,207,1,failure,no
25,estudiante,soltero,secundaria,no,331,no,no,telephone,26,aug,170,4,-1,0,unknown,yes
25,tecnico,soltero,secundaria,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
30,servicios,casado,secundaria,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,no
22,administrativo,soltero,secundaria,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no
39,obrero,casado,primaria,no,52,no,no,cellular,13,aug,69,1,-1,0,unknown,no
46,gerente,divorciado,terciaria,no,25,no,no,unknown,17,jun,564,2,-1,0,unknown,no
31,administrativo,divorciado,secundaria,no,1890,yes,no,cellular,21,jul,588,1,-1,0,unknown,no
45,obrero,casado,primaria,no,419,no,no,cellular,18,aug,113,4,-1,0,unknown,no
32,tecnico,casado,secundaria,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,no
36,obrero,casado,secundaria,no,-231,no,yes,cellular,15,jul,779,2,-1,0,unknown,no
51,gerente,soltero,terciaria,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no
34,autonomo,soltero,terciaria,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
24,desempleado,soltero,secundaria,no,119,no,no,unknown,15,sep,51,1,-1,0,unknown,no
45,tecnico,soltero,secundaria,no,586,no,yes,cellular,28,jul,32,3,-1,0,unknown,no
32,obrero,soltero,secundaria,no,228,no,no,telephone,5,feb,176,1,288,3,failure,no
77,jubilado,divorciado,terciaria,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown,yes
41,obrero,casado,primaria,no,168,yes,no,cellular,18,nov,187,3,-1,0,unknown,no
37,obrero,casado,primaria,no,0,yes,no,unknown,26,may,24,1,-1,0,unknown,no
43,obrero,casado,desconocido,yes,-715,yes,no,unknown,30,may,67,3,-1,0,unknown,no
48,administrativo,casado,desconocido,no,0,yes,no,cellular,8,may,85,1,168,2,failure,no
27,tecnico,soltero,secundaria,no,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no
33,gerente,soltero,terciaria,no,0,no,no,cellular,28,aug,236,10,-1,0,unknown,no
29,administrativo,soltero,secundaria,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no
34,gerente,soltero,terciaria,no,0,no,no,cellular,5,feb,71,1,-1,0,unknown,no
52,gerente,casado,terciaria,no,-970,yes,no,cellular,4,feb,489,1,-1,0,unknown,yes
60,gerente,casado,desconocido,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,no
32,gerente,divorciado,terciaria,no,948,no,no,cellular,12,aug,204,2,-1,0,unknown,no
32,gerente,soltero,terciaria,no,0,yes,no,cellular,22,jul,455,2,-1,0,unknown,no
56,servicios,divorciado,desconocido,no,1877,yes,no,unknown,30,may,86,1,-1,0,unknown,no
31,gerente,soltero,terciaria,no,874,yes,no,cellular,18,nov,190,2,-1,0,unknown,no
42,administrativo,casado,secundaria,no,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no
35,gerente,casado,terciaria,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no
56,jubilado,casado,primaria,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no
48,tecnico,casado,secundaria,no,1152,yes,no,cellular,21,jul,168,5,-1,0,unknown,no
46,administrativo,casado,secundaria,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no
37,tecnico,soltero,desconocido,no,391,yes,no,unknown,8,may,103,3,-1,0,unknown,no
41,emprendedor,casado,desconocido,no,89,yes,no,unknown,6,may,333,2,-1,0,unknown,no
36,gerente,soltero,terciaria,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no
45,desempleado,divorciado,primaria,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no
55,emprendedor,casado,secundaria,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no
39,tecnico,casado,secundaria,no,501,no,no,unknown,26,may,289,1,-1,0,unknown,no
35,tecnico,divorciado,secundaria,no,308,no,no,cellular,22,aug,77,2,-1,0,unknown,no
55,administrativo,casado,secundaria,no,602,no,no,cellular,1,jun,324,3,90,2,success,yes
55,tecnico,casado,secundaria,no,273,yes,no,cellular,29,jan,84,3,183,3,failure,no
27,autonomo,soltero,secundaria,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown,no
34,tecnico,casado,secundaria,no,1641,yes,no,cellular,17,apr,380,1,-1,0,unknown,no
34,obrero,casado,terciaria,no,20,no,no,unknown,4,oct,10,1,-1,0,unknown,no
25,administrativo,soltero,secundaria,no,4590,yes,no,unknown,28,may,199,2,-1,0,unknown,no
41,administrativo,soltero,secundaria,no,-256,no,yes,unknown,9,may,35,3,-1,0,unknown,no
43,servicios,casado,secundaria,no,978,yes,yes,unknown,26,may,82,2,-1,0,unknown,no
28,gerente,soltero,terciaria,no,80,no,no,cellular,20,oct,676,2,146,2,failure,yes
31,administrativo,soltero,secundaria,no,2104,yes,no,unknown,3,jun,455,1,-1,0,unknown,no
78,ama_de_casa,casado,secundaria,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,no
45,obrero,divorciado,secundaria,no,1269,yes,no,cellular,29,jan,549,2,-1,0,unknown,no
48,tecnico,casado,terciaria,no,310,no,no,unknown,6,may,135,1,-1,0,unknown,no
32,obrero,soltero,secundaria,no,1143,yes,yes,cellular,10,jul,412,1,-1,0,unknown,no
42,tecnico,casado,secundaria,no,2980,no,no,unknown,20,jun,101,3,-1,0,unknown,no
37,gerente,soltero,terciaria,no,37,no,no,cellular,28,jan,253,2,-1,0,unknown,no
40,administrativo,soltero,secundaria,no,462,yes,yes,cellular,6,apr,272,1,335,4,other,no
32,administrativo,casado,secundaria,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown,no
42,gerente,casado,terciaria,no,9009,no,no,cellular,20,nov,135,2,-1,0,unknown,no
43,administrativo,casado,secundaria,no,-465,yes,yes,cellular,23,jul,166,1,-1,0,unknown,no
44,administrativo,casado,secundaria,no,5181,yes,yes,cellular,31,jul,18,7,-1,0,unknown,no
37,administrativo,casado,secundaria,no,176,yes,no,cellular,5,may,147,2,347,1,failure,no
37,desconocido,casado,desconocido,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,no
37,administrativo,casado,terciaria,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
28,tecnico,soltero,terciaria,no,172,yes,yes,cellular,2,feb,194,2,-1,0,unknown,no
32,servicios,soltero,secundaria,no,0,no,yes,cellular,11,jul,333,2,-1,0,unknown,no
34,administrativo,soltero,secundaria,no,6979,yes,no,cellular,15,may,14,5,-1,0,unknown,no
40,administrativo,divorciado,secundaria,no,6,no,no,unknown,11,jun,140,1,-1,0,unknown,no
34,servicios,casado,secundaria,no,-62,yes,no,unknown,16,jun,109,3,-1,0,unknown,no
34,autonomo,casado,terciaria,no,1972,yes,no,cellular,23,jul,61,2,-1,0,unknown,no
34,administrativo,casado,terciaria,no,899,yes,no,telephone,19,nov,377,3,7,4,success,no
37,servicios,soltero,secundaria,no,21,yes,no,cellular,2,feb,96,1,271,2,other,no
36,tecnico,casado,secundaria,no,23,yes,no,cellular,8,may,152,2,347,1,failure,no
56,jubilado,casado,secundaria,no,-1206,yes,no,cellular,15,jun,382,2,-1,0,unknown,yes
49,obrero,casado,primaria,no,0,yes,yes,telephone,23,jul,97,6,-1,0,unknown,no
33,autonomo,casado,secundaria,no,215,yes,no,cellular,29,jul,543,12,-1,0,unknown,no
30,gerente,soltero,terciaria,no,1372,no,no,cellular,20,nov,240,2,-1,0,unknown,no
36,servicios,casado,secundaria,no,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no
23,estudiante,soltero,secundaria,no,9216,no,no,cellular,5,jun,471,2,-1,0,unknown,no
57,jubilado,divorciado,secundaria,no,39,yes,no,cellular,30,jul,354,3,-1,0,unknown,no
27,obrero,soltero,secundaria,no,5563,yes,no,unknown,30,may,435,2,-1,0,unknown,no
38,servicios,casado,secundaria,no,1,no,yes,cellular,21,nov,152,2,-1,0,unknown,no
42,tecnico,casado,terciaria,no,782,no,no,cellular,3,apr,285,1,-1,0,unknown,no
75,jubilado,casado,secundaria,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes
34,tecnico,soltero,terciaria,no,992,yes,no,cellular,4,may,301,1,88,2,success,no
48,tecnico,casado,secundaria,no,1526,no,no,cellular,6,aug,273,2,-1,0,unknown,no
35,tecnico,soltero,terciaria,no,2658,yes,no,cellular,19,aug,768,2,141,3,failure,yes
39,gerente,divorciado,terciaria,no,1315,yes,no,cellular,19,nov,1337,4,126,1,failure,no
29,obrero,soltero,terciaria,no,455,no,no,telephone,21,apr,403,1,-1,0,unknown,yes
45,tecnico,soltero,terciaria,no,0,yes,no,cellular,18,nov,139,2,-1,0,unknown,no
42,tecnico,casado,secundaria,no,2030,yes,yes,cellular,9,jul,196,1,-1,0,unknown,no
29,tecnico,casado,secundaria,no,1599,yes,no,cellular,8,jul,115,1,61,1,failure,no
38,servicios,soltero,secundaria,no,-196,yes,no,cellular,2,feb,60,1,271,1,failure,no
56,jubilado,casado,secundaria,no,1333,no,no,cellular,28,aug,17,14,-1,0,unknown,no
36,tecnico,soltero,secundaria,no,9149,yes,no,cellular,13,aug,141,3,-1,0,unknown,no
25,obrero,soltero,secundaria,no,-350,yes,no,unknown,23,jun,95,3,-1,0,unknown,no
38,tecnico,casado,terciaria,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
57,autonomo,casado,secundaria,no,11494,no,no,cellular,19,nov,198,1,-1,0,unknown,no
31,gerente,casado,terciaria,yes,-253,no,no,cellular,12,aug,220,4,-1,0,unknown,no
42,gerente,casado,terciaria,no,372,yes,no,cellular,3,aug,654,2,-1,0,unknown,yes
45,tecnico,casado,secundaria,no,1410,no,no,cellular,11,aug,71,2,-1,0,unknown,no
30,obrero,casado,secundaria,no,975,yes,no,cellular,13,may,256,2,351,2,failure,no
49,obrero,casado,primaria,no,305,yes,yes,telephone,10,jul,834,10,-1,0,unknown,no
49,servicios,casado,secundaria,no,400,no,no,cellular,21,aug,151,3,-1,0,unknown,no
53,jubilado,casado,terciaria,no,-22,yes,no,cellular,31,jul,20,3,-1,0,unknown,no
37,tecnico,casado,secundaria,no,4030,yes,no,unknown,26,may,178,5,-1,0,unknown,no
49,obrero,casado,primaria,no,365,no,no,unknown,26,may,59,2,-1,0,unknown,no
41,autonomo,casado,primaria,no,204,no,no,cellular,13,aug,111,7,-1,0,unknown,no
54,gerente,casado,primaria,no,1691,yes,no,cellular,20,nov,186,1,-1,0,unknown,no
32,servicios,soltero,secundaria,no,406,yes,no,unknown,6,may,227,1,-1,0,unknown,no
33,tecnico,casado,secundaria,no,-204,no,no,cellular,15,may,297,3,-1,0,unknown,no
33,tecnico,casado,secundaria,no,359,yes,no,cellular,20,apr,210,1,242,1,other,no
36,obrero,casado,primaria,no,123,yes,no,cellular,18,may,9,1,-1,0,unknown,no
35,tecnico,casado,terciaria,no,0,yes,yes,cellular,23,sep,112,1,62,6,other,no
52,desconocido,casado,secundaria,no,142,no,no,cellular,25,aug,112,6,-1,0,unknown,no
40,emprendedor,casado,terciaria,no,3571,no,no,unknown,9,jun,222,3,-1,0,unknown,no
44,tecnico,soltero,secundaria,no,33,yes,no,cellular,13,may,195,3,351,10,failure,no
45,obrero,soltero,secundaria,no,0,yes,no,cellular,26,jul,768,2,91,5,success,no
30,estudiante,soltero,secundaria,no,3096,no,no,cellular,26,jan,123,1,-1,0,unknown,no
48,tecnico,divorciado,secundaria,yes,20,no,no,cellular,27,aug,145,3,-1,0,unknown,no
33,obrero,casado,secundaria,no,3576,yes,no,cellular,2,apr,124,1,308,2,other,no
57,tecnico,casado,desconocido,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,no
57,ama_de_casa,casado,primaria,no,7082,no,no,unknown,6,jun,69,3,-1,0,unknown,no
51,desempleado,casado,terciaria,no,1634,yes,no,cellular,22,jul,168,4,-1,0,unknown,no
34,administrativo,soltero,secundaria,no,1,yes,no,cellular,22,jul,483,7,-1,0,unknown,no
50,autonomo,casado,terciaria,no,4012,no,no,cellular,19,nov,690,3,-1,0,unknown,no
44,gerente,casado,terciaria,no,3762,no,no,cellular,28,aug,125,12,-1,0,unknown,no
27,administrativo,casado,secundaria,no,-247,yes,yes,unknown,4,jun,344,2,-1,0,unknown,no
50,obrero,casado,secundaria,no,606,yes,no,unknown,14,may,673,2,-1,0,unknown,no
36,gerente,casado,terciaria,no,0,yes,no,cellular,28,jan,60,1,250,1,other,no
42,gerente,casado,secundaria,no,-189,yes,no,unknown,12,may,247,2,-1,0,unknown,no
32,desempleado,soltero,secundaria,no,0,no,no,cellular,27,may,123,2,-1,0,unknown,no
42,gerente,casado,terciaria,no,484,yes,no,cellular,11,jul,144,2,-1,0,unknown,no
43,tecnico,casado,secundaria,no,0,no,yes,cellular,8,may,9,2,172,5,failure,no
31,gerente,casado,terciaria,no,395,yes,no,cellular,9,feb,155,3,-1,0,unknown,no
32,gerente,casado,terciaria,no,2349,no,no,cellular,14,aug,134,5,-1,0,unknown,no
55,obrero,divorciado,primaria,no,410,no,yes,cellular,11,jul,221,2,-1,0,unknown,no
58,jubilado,casado,primaria,no,3401,yes,no,cellular,3,feb,84,3,265,2,failure,no
46,obrero,casado,primaria,no,222,no,no,cellular,8,aug,71,2,-1,0,unknown,no
55,obrero,casado,secundaria,no,989,yes,yes,unknown,23,may,246,4,-1,0,unknown,no
34,gerente,casado,terciaria,no,415,no,yes,cellular,23,jul,361,2,-1,0,unknown,no
28,desempleado,soltero,secundaria,no,16,no,no,cellular,12,aug,119,4,-1,0,unknown,no
42,tecnico,divorciado,terciaria,no,7190,yes,no,cellular,29,jul,375,2,-1,0,unknown,no
29,obrero,soltero,secundaria,no,482,no,yes,cellular,10,jul,1097,3,-1,0,unknown,yes
54,ama_de_casa,casado,secundaria,no,209,yes,yes,cellular,25,jul,97,1,-1,0,unknown,no
32,tecnico,soltero,secundaria,no,0,no,no,cellular,26,aug,181,2,-1,0,unknown,no
39,tecnico,soltero,terciaria,no,5803,no,no,cellular,2,feb,83,3,-1,0,unknown,no
53,emprendedor,casado,terciaria,no,624,no,yes,cellular,21,jul,180,4,-1,0,unknown,no
58,tecnico,casado,terciaria,no,883,no,no,cellular,18,aug,543,1,78,2,failure,no
40,autonomo,casado,secundaria,no,1516,yes,yes,unknown,23,may,373,1,-1,0,unknown,no
29,estudiante,soltero,secundaria,no,872,yes,no,unknown,7,may,230,1,-1,0,unknown,no
33,tecnico,casado,terciaria,no,-988,yes,yes,cellular,15,jul,83,3,-1,0,unknown,no
38,administrativo,soltero,secundaria,no,902,yes,no,telephone,31,jul,58,13,-1,0,unknown,no
56,servicios,divorciado,secundaria,no,1007,no,no,cellular,29,jul,88,6,-1,0,unknown,no
40,servicios,casado,secundaria,no,0,yes,no,cellular,2,jun,297,1,28,3,failure,no
24,obrero,soltero,secundaria,no,174,yes,yes,cellular,18,may,487,1,-1,0,unknown,yes
46,gerente,casado,secundaria,no,12186,no,no,unknown,20,jun,29,3,-1,0,unknown,no
35,autonomo,casado,secundaria,no,524,yes,no,cellular,21,nov,484,4,-1,0,unknown,no
35,obrero,soltero,terciaria,no,0,yes,no,cellular,21,jul,262,4,-1,0,unknown,no
34,tecnico,casado,secundaria,no,4,yes,no,unknown,15,may,644,1,-1,0,unknown,no
35,ama_de_casa,casado,terciaria,no,11219,no,no,cellular,12,aug,699,2,79,1,failure,no
38,tecnico,soltero,terciaria,no,0,no,no,cellular,28,aug,247,2,-1,0,unknown,no
50,obrero,casado,primaria,no,5776,no,no,cellular,18,nov,49,3,-1,0,unknown,no
51,obrero,divorciado,primaria,no,37,yes,no,cellular,13,may,341,1,-1,0,unknown,no
59,autonomo,casado,terciaria,no,593,no,no,unknown,13,may,64,2,-1,0,unknown,no
32,obrero,casado,secundaria,no,1148,yes,no,cellular,20,apr,121,1,-1,0,unknown,no
37,obrero,soltero,secundaria,no,3561,yes,no,unknown,2,jun,98,1,-1,0,unknown,no
42,administrativo,divorciado,secundaria,no,63,no,no,unknown,16,may,88,6,-1,0,unknown,no
40,estudiante,casado,secundaria,no,260,no,no,unknown,20,jun,197,6,-1,0,unknown,no
28,tecnico,soltero,terciaria,no,2269,yes,no,unknown,9,may,331,1,-1,0,unknown,no
47,administrativo,casado,secundaria,no,1060,yes,no,unknown,6,jun,83,3,-1,0,unknown,no
27,autonomo,casado,secundaria,no,-220,yes,no,unknown,26,may,138,2,-1,0,unknown,no
41,gerente,casado,terciaria,no,49,yes,no,cellular,17,jul,312,5,-1,0,unknown,no
34,administrativo,casado,terciaria,no,69,no,yes,cellular,4,aug,120,3,1,6,success,yes
